| Contract                              |   Runtime Size (B) |   Runtime Margin (B) |   Initcode Size (B) |   Deploy Gas |   Deploy Cost ($) |
| Aggregator_fxUSD_GOLD_mainnet         |              3,360 |               21,216 |               4,087 |      712,870 |             71.29 |
| Aggregator_fxUSD_MCAP                 |              3,360 |               21,216 |               4,213 |      714,130 |             71.41 |
| Aggregator_fxUSD_MCAP_mainnet         |              3,360 |               21,216 |               4,091 |      712,910 |             71.29 |
| Aggregator_fxUSD_SILVER_mainnet       |              3,362 |               21,214 |               4,089 |      713,290 |             71.33 |
| Aggregator_fxUSD_SPCX                 |              3,360 |               21,216 |               4,213 |      714,130 |             71.41 |
| Aggregator_fxUSD_SPCX_mainnet         |              3,360 |               21,216 |               4,087 |      712,870 |             71.29 |
| Aggregator_fxUSD_STRC                 |              3,360 |               21,216 |               4,213 |      714,130 |             71.41 |
| Aggregator_fxUSD_STRC_mainnet         |              3,360 |               21,216 |               4,087 |      712,870 |             71.29 |
| Aggregator_fxUSD_XAG                  |              3,359 |               21,217 |               4,212 |      713,920 |             71.39 |
| Aggregator_fxUSD_XAU                  |              3,359 |               21,217 |               4,212 |      713,920 |             71.39 |
| Aggregator_hsfxUSD_BTC_USD            |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsfxUSD_BTC_USD_mainnet    |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
| Aggregator_hsfxUSD_ETH_USD            |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsfxUSD_ETH_USD_mainnet    |              3,495 |               21,081 |               4,220 |      741,200 |             74.12 |
| Aggregator_hsfxUSD_EUR_USD            |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsfxUSD_EUR_USD_mainnet    |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
| Aggregator_hsfxUSD_GOLD_USD           |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsfxUSD_GOLD_USD_mainnet   |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
| Aggregator_hsfxUSD_SILVER_USD         |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsfxUSD_SILVER_USD_mainnet |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
| Aggregator_hsstETH_BTC_USD            |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsstETH_BTC_USD_mainnet    |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
| Aggregator_hsstETH_EUR_USD            |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsstETH_EUR_USD_mainnet    |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
