| File                                                        | % Lines            | % Statements       | % Branches       | % Funcs          |
| src/aggregators/mainnet/Aggregator_USDE_XAU.sol             | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_BTC.sol            | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_ETH.sol            | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_EUR.sol            | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_MCAP.sol           | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_SPCX.sol           | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_STRC.sol           | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_XAG.sol            | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_fxUSD_XAU.sol            | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_hsfxUSD_BTC_USD.sol      | ✓ 100% (21/21)     | X  95% (21/22)     | X  67% (2/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_hsfxUSD_ETH_USD.sol      | ✓ 100% (21/21)     | X  95% (21/22)     | X  67% (2/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_hsfxUSD_EUR_USD.sol      | ✓ 100% (21/21)     | X  95% (21/22)     | X  67% (2/3)     | ✓ 100% (5/5)     |
