block,timestamp,minPrice,maxPrice,minRate,maxRate,error
24060669,1766316359,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24060369,1766312735,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24060069,1766309123,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24059769,1766305499,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24059469,1766301887,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24059169,1766298287,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24058869,1766294675,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24058569,1766291063,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24058269,1766287463,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24057969,1766283839,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24057669,1766280239,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24057369,1766276603,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24057069,1766272991,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24056769,1766269391,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24056469,1766265779,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24056169,1766262131,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24055869,1766258495,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24055569,1766254871,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24055269,1766251247,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24054969,1766247647,853919919389959609,853919919389959609,1071061785159367494,1071061785159367494,OK
24054669,1766244035,853362461438683773,853362461438683773,1071061785159367494,1071061785159367494,OK
24054369,1766240411,853362461438683773,853362461438683773,1071061785159367494,1071061785159367494,OK
24054069,1766236811,853362461438683773,853362461438683773,1071061785159367494,1071061785159367494,OK
24053769,1766233163,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24053469,1766229551,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24053169,1766225939,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24052869,1766222339,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24052569,1766218727,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24052269,1766215115,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24051969,1766211515,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24051669,1766207915,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24051369,1766204279,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24051069,1766200679,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24050769,1766197079,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24050469,1766193467,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24050169,1766189843,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24049869,1766186231,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24049569,1766182631,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24049269,1766179019,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24048969,1766175407,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24048669,1766171783,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24048369,1766168147,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24048069,1766164499,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24047769,1766160887,853362461438683773,853362461438683773,1070907057853677145,1070907057853677145,OK
24047469,1766157275,852042772547181868,852042772547181868,1070907057853677145,1070907057853677145,OK
24047169,1766153663,853373384990868904,853373384990868904,1070907057853677145,1070907057853677145,OK
